,년도,영업상태코드,X,Y,시설총규모,업소위치분기,영업기간,distance,창업월,구_1_25,프랜차이즈여부_02,sub_1_9
210,1993.0,2,126.97780949999999,37.57168357,89.38,1,2678,0.12345,6,23,0,05
211,1993.0,2,126.97111459999999,37.57661849,34.2,1,3204,0.24329,1,23,0,03
212,1993.0,2,126.99689579999999,37.58306563,167.61,1,2218,0.45797,4,23,0,04
214,1993.0,2,126.98254109999999,37.57879331,18.86,1,198,0.36022,1,23,0,03
215,1993.0,2,126.98410679999999,37.57218113,60.29,1,402,0.23415,2,23,0,01
216,1993.0,2,127.0105087,37.57262003,65.3,1,409,0.10674000000000002,2,23,0,04
217,1993.0,2,126.97821940000001,37.56984477,69.3,1,21,0.25587,5,23,0,05
218,1993.0,2,127.0188451,37.57395765,86.24,1,1400,0.23529,5,23,0,06
220,1994.0,2,126.967672,37.5762881,40.9,1,1936,0.5313899999999999,2,23,0,03
221,1994.0,2,126.9838689,37.56966576,156.2,1,2038,0.08955,2,23,0,01
223,1994.0,2,126.97078540000001,37.57927864,20.61,1,2182,0.4639,3,23,0,03
224,1994.0,2,127.00940530000001,37.5718174,53.36,1,1114,0.10822999999999999,3,23,0,04
225,1994.0,2,127.01108889999999,37.5727589,53.83,1,614,0.12863,3,23,0,04
227,1994.0,2,126.9856963,37.56906332,82.89,1,285,0.25999,3,23,0,01
228,1994.0,2,126.9789838,37.58476512,70.95,1,1909,1.08059,3,23,0,03
229,1994.0,2,126.98559850000001,37.5740367,12.73,1,3538,0.47658999999999996,3,23,0,01
230,1994.0,2,126.9812114,37.56947283,75.13,1,1897,0.18879,4,23,0,01
231,1994.0,2,126.99509690000001,37.58414434,40.73,1,82,0.64612,3,23,0,04
232,1994.0,2,126.9973236,37.58487112,93.5,1,1058,0.51426,4,23,0,04
233,1994.0,2,126.996283,37.583005,113.65,1,1031,0.5089199999999999,4,23,0,04
234,1994.0,2,126.982727,37.57450635,27.82,1,2332,0.47778000000000004,4,23,0,01
235,1994.0,2,126.98506280000001,37.56930339,51.08,1,4240,0.19832,4,23,0,01
236,1994.0,2,126.9988255,37.57596391,36.1,1,5738,0.60547,4,23,0,01
239,1994.0,2,126.98989979999999,37.57219849,9.36,1,4701,0.27964,4,23,0,03
240,1994.0,2,126.97687979999999,37.57628519,70.0,1,420,0.51773,4,23,0,05
241,1994.0,2,126.99553429999999,37.58355567,88.3,1,1746,0.58824,5,23,0,04
242,1994.0,2,126.9883648,37.57286943,54.2,1,4390,0.43021000000000004,5,23,0,03
243,1994.0,2,126.98301140000001,37.57693062,48.85,1,1839,0.2177,5,23,0,03
246,1994.0,2,126.9793943,37.58494362,42.67,1,1108,1.0792899999999999,6,23,0,03
248,1994.0,2,126.99894429999999,37.57421619,20.11,1,2202,0.4281,6,23,0,01
249,1994.0,2,126.969078,37.57737539,20.51,1,1899,0.44138999999999995,6,23,0,03
250,1994.0,2,127.01292430000001,37.57335991,85.47,1,742,0.27726,6,23,0,04
251,1994.0,2,127.01269409999999,37.57113494,38.5,1,1618,0.1922,6,23,0,04
252,1994.0,2,127.00362340000002,37.571369,40.96,1,2439,0.18916,7,23,0,01
256,1994.0,1,127.0004128,37.5735459,22.88,1,9655,0.30401999999999996,7,23,0,01
257,1994.0,2,126.99927679999999,37.58396482,66.93,1,757,0.31768,7,23,0,04
259,1994.0,2,126.97254109999999,37.56994214,67.0,1,879,0.38995,7,23,0,05
264,1994.0,2,127.0191108,37.57628723,46.2,1,464,0.41978000000000004,9,23,0,06
265,1994.0,2,126.96235420000001,37.56799401,50.5,1,156,0.45216999999999996,9,23,0,05
267,1994.0,2,126.99562350000001,37.58305613,82.4,1,737,0.56694,9,23,0,04
268,1994.0,2,126.98856090000001,37.5715117,128.9,1,926,0.3383,10,23,0,03
269,1994.0,2,126.99931389999999,37.58375363,47.39,1,299,0.29972,10,23,0,04
270,1994.0,2,126.97054140000002,37.57491201,53.76,1,1954,0.29231,10,23,0,03
271,1994.0,2,127.01027179999998,37.5724876,43.04,1,1443,0.09652999999999999,11,23,0,04
272,1994.0,2,126.98205130000001,37.56930045,125.8,1,113,0.13998,11,23,0,01
273,1994.0,2,126.99927679999999,37.58396482,51.81,1,1710,0.31768,12,23,0,04
274,1994.0,2,126.96931880000001,37.57671252,48.6,1,2937,0.39688,12,23,0,03
275,1994.0,2,127.01617340000001,37.57374904,109.06,1,1973,0.06151,12,23,0,06
276,1994.0,2,126.996707,37.58290032,92.16,1,2082,0.46993999999999997,12,23,0,04
278,1995.0,2,126.9894541,37.5727525,70.97,1,5298,0.35133000000000003,1,23,0,03
279,1995.0,2,126.9864173,37.57170027,74.65,1,3717,0.33283,1,23,0,01
280,1995.0,2,126.97130320000001,37.57360493,10.51,1,716,0.50007,2,23,0,05
281,1995.0,2,126.9956797,37.57428701,41.76,1,639,0.53094,2,23,0,03
283,1995.0,2,126.9829738,37.570739700000004,122.2,1,1068,0.0593,2,23,0,01
284,1995.0,2,126.99883740000001,37.57150083,71.5,1,6696,0.24556999999999998,2,23,0,01
285,1995.0,2,126.9991991,37.58309373,180.13,1,1255,0.26792,2,23,0,04
286,1995.0,2,127.0078116,37.57374079,57.63,1,186,0.33838,3,23,0,04
287,1995.0,2,126.97982079999998,37.57365957,71.58,1,693,0.37496999999999997,4,23,0,05
288,1995.0,1,127.00445649999999,37.57060611,4.8,1,9394,0.26011,4,23,0,01
290,1995.0,2,126.96869840000002,37.57976068,41.37,1,430,0.62207,4,23,0,03
291,1995.0,2,127.0001684,37.58300604,113.39,1,770,0.18928,5,23,0,04
293,1995.0,2,126.9541195,37.5755074,88.84,1,2770,0.35359,5,23,0,03
294,1995.0,2,126.96735859999998,37.57650798,21.96,1,192,0.56182,6,23,0,03
295,1995.0,2,127.0139625,37.57353605,26.64,1,181,0.21311,6,23,0,06
296,1995.0,2,127.0104004,37.57253357,87.95,1,519,0.09858,6,23,0,04
297,1995.0,2,126.9868102,37.56936971,93.96,1,1564,0.33758,6,23,0,01
298,1995.0,2,126.9895379,37.57196651,18.4,1,1639,0.28688,8,23,0,03
299,1995.0,2,126.9822294,37.57499137,16.53,1,1458,0.32695,8,23,0,03
300,1995.0,2,126.9703672,37.57277522,120.24,1,995,0.54718,8,23,0,05
301,1995.0,2,126.9710312,37.569730299999996,233.9,1,297,0.51959,8,23,0,05
302,1995.0,2,126.98589890000001,37.57271621,54.07,1,504,0.36922,10,23,0,01
304,1995.0,2,127.01411110000001,37.57129499,78.75,1,208,0.31058,11,23,0,04
306,1995.0,1,126.9894541,37.5727525,70.97,1,9485,0.35133000000000003,1,23,0,03
307,1996.0,2,127.01264579999999,37.57012827,99.58,1,7304,0.24718,1,23,0,04
308,1996.0,2,126.979454,37.58698589,11.26,1,296,1.2797100000000001,2,23,0,03
309,1996.0,2,126.9956425,37.58350134,46.9,1,818,0.5773699999999999,3,23,0,04
310,1996.0,2,126.9834216,37.57199623,12.87,1,720,0.19894,3,23,0,01
311,1996.0,2,126.98737129999999,37.56907553,13.77,1,5597,0.39461999999999997,3,23,0,01
312,1996.0,2,126.99435090000001,37.5839761,53.12,1,463,0.70173,4,23,0,04
313,1996.0,2,126.99936240000001,37.57064601,114.85,1,557,0.19505999999999998,4,23,0,01
314,1996.0,2,126.9813091,37.57259454,40.7,1,6030,0.309,5,23,0,01
315,1996.0,2,126.9851825,37.56869851,35.48,1,2025,0.24756,5,23,0,01
316,1996.0,2,126.98357630000001,37.57455749,34.82,1,198,0.48368999999999995,5,23,0,01
317,1996.0,1,126.99927679999999,37.58396482,80.1,1,8961,0.31768,6,23,0,04
318,1996.0,2,126.9819687,37.57051344,95.16,1,651,0.10769000000000001,7,23,0,01
319,1996.0,2,126.9943826,37.58518674,34.2,1,1589,0.7518,7,23,0,04
321,1996.0,2,127.0008263,37.5812006,60.67,1,4056,0.13337000000000002,7,23,0,04
322,1996.0,2,126.99895990000002,37.57803157,21.69,1,267,0.5152899999999999,7,23,0,04
323,1996.0,2,126.9823217,37.5730865,13.74,1,1553,0.32649,8,23,0,01
324,1996.0,2,126.98078729999999,37.57551506,24.47,1,6258,0.42243,9,23,0,03
325,1996.0,2,126.9936886,37.58789582,39.5,1,382,0.9760700000000001,10,23,0,04
326,1996.0,2,126.96795230000001,37.57957934,57.85,1,4388,0.65688,11,23,0,03
327,1996.0,2,126.98559850000001,37.5740367,22.5,2,3944,0.47658999999999996,11,23,0,01
328,1996.0,2,126.9994587,37.57023871,128.65,1,225,0.20023,12,23,0,01
329,1996.0,2,126.98619790000001,37.57576569,14.24,1,2758,0.10605999999999999,12,23,0,03
330,1996.0,2,127.0139625,37.57353605,21.09,1,855,0.21311,12,23,0,06
331,1996.0,2,127.01241409999999,37.57253623,68.81,1,1224,0.18564,12,23,0,04
332,1996.0,2,126.97130320000001,37.57360493,30.4,1,373,0.50007,12,23,0,05
333,1996.0,2,126.9945048,37.58430786,29.0,1,7818,0.70133,8,23,0,04
334,1997.0,2,127.00079579999999,37.57261022,51.7,1,4189,0.19467,3,23,0,01
335,1997.0,2,127.0077287,37.57206228,37.19,1,841,0.25845999999999997,3,23,0,04
336,1997.0,1,126.98249779999999,37.57349989,37.7,1,8683,0.3688,3,23,0,01
337,1997.0,2,126.97477509999999,37.56954991,41.58,1,1211,0.27382,4,23,0,05
338,1997.0,2,126.9870622,37.56879655,11.96,1,1505,0.38077,4,23,0,01
339,1997.0,2,127.01578899999998,37.57364147,41.6,1,1361,0.06841,4,23,0,06
340,1997.0,2,126.9866068,37.57565518,33.81,1,198,0.14010999999999998,4,23,0,03
341,1997.0,2,126.9862337,37.57913759,76.4,1,361,0.30271,4,23,0,03
342,1997.0,2,126.9817265,37.56984154,100.65,1,152,0.13104000000000002,5,23,0,01
343,1997.0,2,126.9645336,37.57478901,35.76,1,195,0.5847,6,23,0,03
344,1997.0,2,126.99927179999999,37.57139466,88.8,1,3181,0.20558,7,23,0,01
346,1997.0,2,126.9811951,37.56965068,77.66,1,1765,0.18228,8,23,0,01
347,1997.0,1,126.9815354,37.57418894,44.56,1,8529,0.46308999999999995,8,23,0,01
348,1997.0,2,127.0120669,37.58020711,63.92,1,223,0.2969,8,23,0,06
349,1997.0,2,126.99871709999998,37.57291586,31.99,1,2038,0.33029000000000003,9,23,0,01
350,1997.0,2,126.99557490000001,37.57258273,118.82,1,1160,0.38627,9,23,0,03
351,1997.0,2,126.9817265,37.56984154,100.65,1,33,0.13104000000000002,10,23,0,01
352,1997.0,2,126.968461,37.58168848,102.99,1,353,0.80067,11,23,0,03
353,1997.0,2,127.01921019999999,37.57324002,50.46,1,3653,0.25243000000000004,11,23,0,06
354,1997.0,2,126.98410940000001,37.5792562,31.95,1,183,0.32823,11,23,0,03
355,1997.0,2,127.00362859999998,37.57019281,101.23,1,2,0.203,11,23,0,01
356,1997.0,2,126.9936886,37.58789582,41.27,1,2386,0.9760700000000001,11,23,0,04
357,1997.0,2,126.9876544,37.57427045,27.81,1,237,0.5829300000000001,11,23,0,03
358,1997.0,2,126.95946129999999,37.59777378,28.8,1,2160,1.87743,12,23,0,03
359,1997.0,2,126.96694550000001,37.57354785,19.2,1,4027,0.80272,12,23,0,03
360,1997.0,2,126.9902598,37.57075952,41.3,1,1876,0.17029,12,23,0,03
361,1997.0,1,126.98376670000002,37.57323551,23.65,1,8416,0.33973000000000003,12,23,0,01
362,1997.0,2,126.99974909999999,37.58277452,308.6,1,245,0.209,12,23,0,04
364,1997.0,1,126.9975987,37.57901025,71.94,1,8402,0.5077,12,23,0,04
