,자치구명,행정동명,년도,인허가일자,폐업일자,영업상태코드,영업상태명,사업장명,X,Y,시설총규모,규모분기,총층수1,업소위치분기,영업기간,당월_매출_금액,당월_매출_건수,점포수,cluster_id,역이름,SX,SY,호선,distance,d_code
671,종로구,종로1.2.3.4가동,2005,2005-06-24,2020-12-31,1,영업,미라클1 카페,126.98922759999998,37.56896578,121.53,9,1.0,0,5669,385169402.0,28637.0,13.0,188.0,을지로3가역,126.99096750000001,37.56627618,03호선,0.33609,2
674,종로구,부암동,2005,2005-07-27,2016-11-07,2,폐업,(주)애족,126.9590369,37.59800104,78.2,7,3.0,1,4121,739202502.0,82121.0,16.0,83.0,무악재역,126.950231,37.58255602,03호선,1.88454,4
683,종로구,종로1.2.3.4가동,2005,2005-10-18,2020-12-31,1,영업,이디아 종로2호점,126.98284440000002,37.57042881,16.5,2,15.0,1,5553,152473261.0,43013.0,2.0,205.0,종각역,126.9831338,37.57022168,01호선,0.03437,1
684,종로구,가회동,2005,2005-10-28,2014-09-02,2,폐업,(주)서미앤투스,126.98115559999998,37.57927955,26.4,3,1.0,1,3231,1246305988.0,96106.0,29.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.48702,3
685,종로구,종로5.6가동,2005,2005-11-01,2016-12-06,2,폐업,주스 커피,126.99522209999999,37.57399492,109.82,9,15.0,1,4053,206368601.0,17347.0,14.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.48117,3
691,종로구,종로1.2.3.4가동,2005,2005-11-30,2020-12-31,1,영업,소그노스에스프레소,126.9774773,37.56961583,26.45,3,1.0,1,5510,152473261.0,43013.0,2.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.24438000000000001,1
693,종로구,이화동,2005,2005-12-16,2020-12-31,1,영업,에쯔,127.00190079999999,37.57938942,40.0,4,1.0,1,5494,821801166.0,77625.0,9.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.29317,2
695,종로구,종로1.2.3.4가동,2005,2005-12-22,2020-12-31,1,영업,커피숖,126.98655320000002,37.57668792,65.65,6,0.0,1,5488,332109487.0,30541.0,13.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.10226,1
700,종로구,숭인제1동,2005,2005-12-28,2017-07-06,2,폐업,할리스커피신설동점,127.0187777,37.57519938,164.38,10,3.0,1,4208,152473261.0,43013.0,2.0,64.0,동묘앞역,127.01634609999999,37.57321306,06호선,0.30774,2
702,종로구,혜화동,2006,2006-01-17,2020-12-31,1,영업,투썸플레이스 혜화로타리점,126.9977983,37.58527276,108.96,9,1.0,1,5462,206368601.0,17347.0,14.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.5124,3
