,시설총규모,업소위치분기,distance,성공여부,창업월,구_1_25,프랜차이즈여부_02,sub_19
8992,26.4,1,0.6201800000000001,1,10,13,1,7
29209,35.0,1,0.366,1,3,1,0,8
25356,232.02,1,1.22348,1,1,2,1,1
7891,79.12,1,0.35173000000000004,0,7,22,0,5
8988,48.84,1,0.8177300000000001,1,9,13,0,7
12186,13.2,1,1.46343,0,8,20,0,5
8114,21.84,1,0.31908000000000003,1,10,22,0,6
29124,252.86,1,0.6924,1,10,1,2,3
15384,20.0,1,0.73027,1,4,3,0,1
32018,41.6,1,0.1514,1,4,8,0,9
29411,9.57,1,0.32263000000000003,1,10,1,0,1
9015,40.0,1,1.42323,1,5,13,0,4
26791,0.0,1,0.69143,1,1,1,0,3
8151,16.52,1,0.12925,1,2,22,0,6
5159,18.32,1,0.44919,1,2,21,0,1
7491,17.9,1,0.8660899999999999,1,3,12,0,4
14847,56.13,1,0.36409,1,6,3,0,1
4133,86.25,1,0.98916,0,11,17,0,4
703,18.0,1,0.65654,1,1,5,0,3
8644,0.0,1,1.4040000000000001,1,12,13,0,7
19594,30.0,1,0.25387,1,11,23,0,4
32483,48.49,1,0.8577600000000001,1,8,8,0,3
12629,26.5,1,0.47536999999999996,0,4,11,0,1
1054,33.0,1,0.31172,1,10,5,0,3
20082,75.4,1,0.44093999999999994,1,8,6,0,1
11357,16.5,1,0.72693,1,6,16,0,7
331,68.81,1,0.18564,1,12,5,0,7
17655,92.0,0,0.39027,1,3,7,0,2
9095,46.28,1,0.20843000000000003,1,9,13,2,7
2471,64.7,1,0.34076,0,12,4,0,1
15199,69.63,1,0.37640999999999997,0,5,3,0,5
30241,180.0,1,0.58965,1,7,1,0,8
26260,394.35,1,0.32997,1,8,2,1,1
26999,66.38,1,0.9563200000000001,0,6,1,0,3
17209,33.4,1,0.92606,1,2,7,0,8
21033,168.24,1,0.29439,0,4,6,0,8
2604,42.97,1,0.35862,1,6,4,0,7
32587,45.0,1,1.8063099999999999,0,7,8,0,2
10527,58.8,1,0.20664000000000002,0,4,24,0,7
6299,39.6,1,0.65851,1,11,18,0,2
23210,19.8,1,1.24027,1,6,9,0,1
716,52.32,1,0.23044,1,4,5,0,3
16159,99.0,1,1.45783,1,6,15,0,1
15310,47.59,1,0.36483000000000004,1,11,3,0,5
4760,51.84,1,0.19345,0,6,17,0,7
23994,41.38,1,0.29402,1,6,2,0,1
22989,78.92,1,0.6460600000000001,1,3,9,0,1
25684,20.0,1,0.47065,1,5,2,0,6
17366,49.59,1,0.31636,1,10,7,0,2
29970,9.9,1,0.5901,0,10,1,0,8
13384,29.7,0,0.56655,0,12,11,0,2
20335,45.6,1,0.27342,1,2,6,0,1
32215,62.76,1,0.59091,0,8,8,0,9
11265,56.2,1,0.78852,1,4,16,0,6
1110,17.2,1,0.44225,1,5,5,0,2
27138,72.25,0,0.75583,1,4,1,0,6
17162,28.0,1,0.5290100000000001,1,5,7,0,8
32435,47.11,1,2.68514,1,3,8,0,3
29598,95.0,1,0.26075,0,7,1,0,8
4711,17.48,1,0.5240100000000001,1,10,17,0,4
22875,90.0,1,0.2204,0,10,9,0,1
25104,33.0,1,0.5088600000000001,1,2,2,0,3
1285,33.4,2,0.31727,1,12,5,0,3
17766,171.6,1,0.49546,1,11,7,1,2
9944,425.0,1,0.29559,1,9,25,1,7
31684,147.7,1,0.50815,1,11,8,0,1
29080,92.4,1,1.3866,1,7,1,0,3
30066,56.37,1,1.16052,1,1,1,1,1
1698,96.52,1,0.18306,1,6,5,0,7
31392,72.08,1,0.64876,1,11,8,0,9
20033,81.07,1,0.58628,1,5,6,0,6
8302,53.15,1,0.49146000000000006,1,5,22,0,6
28788,8.25,1,0.53159,0,4,1,0,3
7413,16.5,1,0.45533999999999997,0,3,12,0,1
22241,11.71,1,0.5418,0,4,19,0,1
12782,389.52,1,0.36030999999999996,1,2,11,1,1
821,49.21,1,3.23332,1,10,5,0,3
7568,24.0,1,0.03692,1,3,12,0,2
27232,69.12,1,0.31664000000000003,1,2,1,0,1
17833,13.22,1,0.9031899999999999,1,5,7,0,2
14165,66.0,1,0.21435,1,4,3,0,1
23802,86.48,1,0.38785,1,11,9,0,1
12213,23.92,1,0.28565999999999997,1,3,20,0,5
8322,30.36,1,0.23873000000000003,0,12,22,0,6
26819,115.62,1,0.6361100000000001,0,11,1,0,3
3787,6.8,1,0.38950999999999997,0,5,4,0,7
31844,40.0,1,0.41881999999999997,1,10,8,0,9
18893,12.0,1,0.31659,1,6,14,0,4
27451,18.0,0,0.6715899999999999,1,2,1,0,1
19356,62.25,1,0.20257999999999998,1,8,23,0,4
14748,49.66,1,0.24988000000000002,1,1,3,0,2
16953,39.0,1,1.4106100000000001,1,10,7,0,8
925,29.9,1,1.40117,1,6,5,0,3
4609,42.53,1,0.5644399999999999,1,4,17,0,5
1381,282.84,1,0.07757,1,10,5,1,4
3776,30.0,1,0.26675,1,4,4,0,5
19467,14.0,0,1.08012,1,11,23,0,4
17035,35.15,0,0.64877,1,1,7,0,8
32178,25.0,1,0.29331,1,11,8,0,8
32845,135.48,1,1.8335099999999998,1,8,10,0,2
7530,39.0,2,0.38301999999999997,0,8,12,0,4
22365,22.0,1,0.60182,1,8,19,0,4
5600,49.24,1,0.5885100000000001,1,3,21,0,1
14345,5.0,1,0.27686,1,12,3,0,5
18181,82.0,1,0.34988,1,10,14,0,6
2102,84.15,1,0.34912,1,6,4,0,7
1371,14.85,1,2.56433,1,9,5,0,3
556,190.96,1,0.23867,1,9,5,2,3
10749,80.91,1,0.5342899999999999,1,4,16,0,4
13907,91.98,2,0.34451,1,10,3,0,2
29958,19.8,1,0.26075,0,10,1,0,8
19865,68.44,1,0.18425,0,12,6,0,8
